Country,Year,Series,Value
Dem. Rep. of the Congo,2005,Current health expenditure (% of GDP),4.2746
Dem. Rep. of the Congo,2010,Current health expenditure (% of GDP),4.0193
Dem. Rep. of the Congo,2015,Current health expenditure (% of GDP),3.942
Dem. Rep. of the Congo,2016,Current health expenditure (% of GDP),3.8874
Dem. Rep. of the Congo,2017,Current health expenditure (% of GDP),3.9787
Dem. Rep. of the Congo,2000,Domestic general government health expenditure (% of total government expenditure),2.5117
Dem. Rep. of the Congo,2005,Domestic general government health expenditure (% of total government expenditure),2.5117
Dem. Rep. of the Congo,2010,Domestic general government health expenditure (% of total government expenditure),2.5117
Dem. Rep. of the Congo,2015,Domestic general government health expenditure (% of total government expenditure),3.8421
Dem. Rep. of the Congo,2016,Domestic general government health expenditure (% of total government expenditure),3.8536
Dem. Rep. of the Congo,2017,Domestic general government health expenditure (% of total government expenditure),3.3291
Denmark,2000,Current health expenditure (% of GDP),8.1044
Denmark,2005,Current health expenditure (% of GDP),9.0906
Denmark,2010,Current health expenditure (% of GDP),10.3332
Denmark,2015,Current health expenditure (% of GDP),10.2272
Denmark,2016,Current health expenditure (% of GDP),10.1812
Denmark,2017,Current health expenditure (% of GDP),10.1083
Denmark,2000,Domestic general government health expenditure (% of total government expenditure),12.7837
Denmark,2005,Domestic general government health expenditure (% of total government expenditure),14.8567
Denmark,2010,Domestic general government health expenditure (% of total government expenditure),15.2937
Denmark,2015,Domestic general government health expenditure (% of total government expenditure),15.7893
Denmark,2016,Domestic general government health expenditure (% of total government expenditure),16.2627
Denmark,2017,Domestic general government health expenditure (% of total government expenditure),16.6023
Djibouti,2000,Current health expenditure (% of GDP),4.1253
Djibouti,2005,Current health expenditure (% of GDP),4.5273
Djibouti,2010,Current health expenditure (% of GDP),4.2971
Djibouti,2015,Current health expenditure (% of GDP),4.3893
Djibouti,2016,Current health expenditure (% of GDP),3.7493
Djibouti,2017,Current health expenditure (% of GDP),3.3165
Djibouti,2000,Domestic general government health expenditure (% of total government expenditure),6.0755
Djibouti,2005,Domestic general government health expenditure (% of total government expenditure),5.3278
Djibouti,2010,Domestic general government health expenditure (% of total government expenditure),6.9705
Djibouti,2015,Domestic general government health expenditure (% of total government expenditure),4.0695
Djibouti,2016,Domestic general government health expenditure (% of total government expenditure),4.0695
Djibouti,2017,Domestic general government health expenditure (% of total government expenditure),4.0695
Dominica,2000,Current health expenditure (% of GDP),5.2413
Dominica,2005,Current health expenditure (% of GDP),5.233
Dominica,2010,Current health expenditure (% of GDP),5.5699
Dominica,2015,Current health expenditure (% of GDP),5.4116
Dominica,2016,Current health expenditure (% of GDP),5.2103
Dominica,2017,Current health expenditure (% of GDP),5.8769
Dominica,2000,Domestic general government health expenditure (% of total government expenditure),8.4286
Dominica,2005,Domestic general government health expenditure (% of total government expenditure),9.5057
Dominica,2010,Domestic general government health expenditure (% of total government expenditure),8.2538
Dominica,2015,Domestic general government health expenditure (% of total government expenditure),10.5822
Dominica,2016,Domestic general government health expenditure (% of total government expenditure),8.0332
Dominica,2017,Domestic general government health expenditure (% of total government expenditure),7.2704
Dominican Republic,2000,Current health expenditure (% of GDP),4.8843
Dominican Republic,2005,Current health expenditure (% of GDP),4.3539
Dominican Republic,2010,Current health expenditure (% of GDP),5.5794
Dominican Republic,2015,Current health expenditure (% of GDP),5.9825
Dominican Republic,2016,Current health expenditure (% of GDP),6.0966
Dominican Republic,2017,Current health expenditure (% of GDP),6.1364
Dominican Republic,2000,Domestic general government health expenditure (% of total government expenditure),11.7657
Dominican Republic,2005,Domestic general government health expenditure (% of total government expenditure),9.1992
Dominican Republic,2010,Domestic general government health expenditure (% of total government expenditure),15.9277
Dominican Republic,2015,Domestic general government health expenditure (% of total government expenditure),13.9541
Dominican Republic,2016,Domestic general government health expenditure (% of total government expenditure),15.9996
Dominican Republic,2017,Domestic general government health expenditure (% of total government expenditure),15.5982
Ecuador,2000,Current health expenditure (% of GDP),3.3153
Ecuador,2005,Current health expenditure (% of GDP),5.5784
Ecuador,2010,Current health expenditure (% of GDP),7.122
Ecuador,2015,Current health expenditure (% of GDP),8.5885
Ecuador,2016,Current health expenditure (% of GDP),8.296
Ecuador,2017,Current health expenditure (% of GDP),8.2574
Ecuador,2000,Domestic general government health expenditure (% of total government expenditure),4.1394
Ecuador,2005,Domestic general government health expenditure (% of total government expenditure),7.8656
Ecuador,2010,Domestic general government health expenditure (% of total government expenditure),9.2046
Ecuador,2015,Domestic general government health expenditure (% of total government expenditure),10.6884
Ecuador,2016,Domestic general government health expenditure (% of total government expenditure),10.9859
Ecuador,2017,Domestic general government health expenditure (% of total government expenditure),11.9228
Egypt,2000,Current health expenditure (% of GDP),4.9224
Egypt,2005,Current health expenditure (% of GDP),4.9223
Egypt,2010,Current health expenditure (% of GDP),4.1532
Egypt,2015,Current health expenditure (% of GDP),5.3366
Egypt,2016,Current health expenditure (% of GDP),5.363
Egypt,2017,Current health expenditure (% of GDP),5.2876
Egypt,2000,Domestic general government health expenditure (% of total government expenditure),6.6637
Egypt,2005,Domestic general government health expenditure (% of total government expenditure),5.2435
Egypt,2010,Domestic general government health expenditure (% of total government expenditure),4.3616
Egypt,2015,Domestic general government health expenditure (% of total government expenditure),5.058
Egypt,2016,Domestic general government health expenditure (% of total government expenditure),5.058
Egypt,2017,Domestic general government health expenditure (% of total government expenditure),5.4199
El Salvador,2000,Current health expenditure (% of GDP),8.9247
El Salvador,2005,Current health expenditure (% of GDP),8.4369
El Salvador,2010,Current health expenditure (% of GDP),8.2363
El Salvador,2015,Current health expenditure (% of GDP),7.6303
El Salvador,2016,Current health expenditure (% of GDP),7.7171
El Salvador,2017,Current health expenditure (% of GDP),7.2276
El Salvador,2000,Domestic general government health expenditure (% of total government expenditure),18.4698
El Salvador,2005,Domestic general government health expenditure (% of total government expenditure),19.5923
El Salvador,2010,Domestic general government health expenditure (% of total government expenditure),17.7433
El Salvador,2015,Domestic general government health expenditure (% of total government expenditure),20.8322
El Salvador,2016,Domestic general government health expenditure (% of total government expenditure),20.9249
El Salvador,2017,Domestic general government health expenditure (% of total government expenditure),19.2442
Equatorial Guinea,2000,Current health expenditure (% of GDP),2.3244
Equatorial Guinea,2005,Current health expenditure (% of GDP),1.5056
Equatorial Guinea,2010,Current health expenditure (% of GDP),1.8186
Equatorial Guinea,2015,Current health expenditure (% of GDP),2.9153
Equatorial Guinea,2016,Current health expenditure (% of GDP),3.1572
Equatorial Guinea,2017,Current health expenditure (% of GDP),3.1071
Equatorial Guinea,2000,Domestic general government health expenditure (% of total government expenditure),1.4085
Equatorial Guinea,2005,Domestic general government health expenditure (% of total government expenditure),1.4638
Equatorial Guinea,2010,Domestic general government health expenditure (% of total government expenditure),1.4552
Equatorial Guinea,2015,Domestic general government health expenditure (% of total government expenditure),1.3311
Equatorial Guinea,2016,Domestic general government health expenditure (% of total government expenditure),2.4965
Equatorial Guinea,2017,Domestic general government health expenditure (% of total government expenditure),2.9434
Eritrea,2000,Current health expenditure (% of GDP),4.4631
Eritrea,2005,Current health expenditure (% of GDP),5.3124
Eritrea,2010,Current health expenditure (% of GDP),3.4559
Eritrea,2015,Current health expenditure (% of GDP),2.8643
Eritrea,2016,Current health expenditure (% of GDP),2.9081
Eritrea,2017,Current health expenditure (% of GDP),2.87
Eritrea,2000,Domestic general government health expenditure (% of total government expenditure),2.142
Eritrea,2005,Domestic general government health expenditure (% of total government expenditure),1.1483
Eritrea,2010,Domestic general government health expenditure (% of total government expenditure),1.5076
Eritrea,2015,Domestic general government health expenditure (% of total government expenditure),1.2096
Eritrea,2016,Domestic general government health expenditure (% of total government expenditure),2.9195
Eritrea,2017,Domestic general government health expenditure (% of total government expenditure),2.6767
Estonia,2000,Current health expenditure (% of GDP),5.1645
Estonia,2005,Current health expenditure (% of GDP),5.0913
Estonia,2010,Current health expenditure (% of GDP),6.3337
Estonia,2015,Current health expenditure (% of GDP),6.3863
Estonia,2016,Current health expenditure (% of GDP),6.5034
Estonia,2017,Current health expenditure (% of GDP),6.4294
Estonia,2000,Domestic general government health expenditure (% of total government expenditure),10.7776
Estonia,2005,Domestic general government health expenditure (% of total government expenditure),11.0847
Estonia,2010,Domestic general government health expenditure (% of total government expenditure),11.5999
Estonia,2015,Domestic general government health expenditure (% of total government expenditure),12.1412
Estonia,2016,Domestic general government health expenditure (% of total government expenditure),12.4278
Estonia,2017,Domestic general government health expenditure (% of total government expenditure),12.2249
Eswatini,2000,Current health expenditure (% of GDP),4.6095
Eswatini,2005,Current health expenditure (% of GDP),7.3762
Eswatini,2010,Current health expenditure (% of GDP),8.5913
Eswatini,2015,Current health expenditure (% of GDP),7.1269
Eswatini,2016,Current health expenditure (% of GDP),6.8178
Eswatini,2017,Current health expenditure (% of GDP),6.9304
Eswatini,2000,Domestic general government health expenditure (% of total government expenditure),9.7943
Eswatini,2005,Domestic general government health expenditure (% of total government expenditure),12.6123
Eswatini,2010,Domestic general government health expenditure (% of total government expenditure),13.7565
Eswatini,2015,Domestic general government health expenditure (% of total government expenditure),8.7334
Eswatini,2016,Domestic general government health expenditure (% of total government expenditure),7.816
Eswatini,2017,Domestic general government health expenditure (% of total government expenditure),10.0202
Ethiopia,2000,Current health expenditure (% of GDP),4.365
Ethiopia,2005,Current health expenditure (% of GDP),4.101
Ethiopia,2010,Current health expenditure (% of GDP),5.4664
Ethiopia,2015,Current health expenditure (% of GDP),3.9449
Ethiopia,2016,Current health expenditure (% of GDP),3.8512
Ethiopia,2017,Current health expenditure (% of GDP),3.5026
Ethiopia,2000,Domestic general government health expenditure (% of total government expenditure),7.0286
Ethiopia,2005,Domestic general government health expenditure (% of total government expenditure),7.5489
Ethiopia,2010,Domestic general government health expenditure (% of total government expenditure),5.1063
Ethiopia,2015,Domestic general government health expenditure (% of total government expenditure),5.5721
Ethiopia,2016,Domestic general government health expenditure (% of total government expenditure),5.0244
Ethiopia,2017,Domestic general government health expenditure (% of total government expenditure),4.7883
Fiji,2000,Current health expenditure (% of GDP),3.7226
Fiji,2005,Current health expenditure (% of GDP),3.559
Fiji,2010,Current health expenditure (% of GDP),3.7014
Fiji,2015,Current health expenditure (% of GDP),3.5689
Fiji,2016,Current health expenditure (% of GDP),3.5348
Fiji,2017,Current health expenditure (% of GDP),3.5007
Fiji,2000,Domestic general government health expenditure (% of total government expenditure),10.588
Fiji,2005,Domestic general government health expenditure (% of total government expenditure),10.3595
Fiji,2010,Domestic general government health expenditure (% of total government expenditure),8.5877
Fiji,2015,Domestic general government health expenditure (% of total government expenditure),7.0442
Fiji,2016,Domestic general government health expenditure (% of total government expenditure),7.6616
Fiji,2017,Domestic general government health expenditure (% of total government expenditure),7.1619
Finland,2000,Current health expenditure (% of GDP),6.8429
Finland,2005,Current health expenditure (% of GDP),8.0039
Finland,2010,Current health expenditure (% of GDP),8.8771
Finland,2015,Current health expenditure (% of GDP),9.7041
Finland,2016,Current health expenditure (% of GDP),9.4284
Finland,2017,Current health expenditure (% of GDP),9.2069
Finland,2000,Domestic general government health expenditure (% of total government expenditure),10.5839
Finland,2005,Domestic general government health expenditure (% of total government expenditure),12.4783
Finland,2010,Domestic general government health expenditure (% of total government expenditure),12.5261
Finland,2015,Domestic general government health expenditure (% of total government expenditure),13.2016
Finland,2016,Domestic general government health expenditure (% of total government expenditure),12.9019
Finland,2017,Domestic general government health expenditure (% of total government expenditure),13.0394
France,2000,Current health expenditure (% of GDP),9.5845
France,2005,Current health expenditure (% of GDP),10.2148
France,2010,Current health expenditure (% of GDP),11.239
France,2015,Current health expenditure (% of GDP),11.4591
France,2016,Current health expenditure (% of GDP),11.4789
France,2017,Current health expenditure (% of GDP),11.3129
France,2000,Domestic general government health expenditure (% of total government expenditure),14.6369
France,2005,Domestic general government health expenditure (% of total government expenditure),15.0814
France,2010,Domestic general government health expenditure (% of total government expenditure),15.085
France,2015,Domestic general government health expenditure (% of total government expenditure),15.4709
France,2016,Domestic general government health expenditure (% of total government expenditure),15.5977
France,2017,Domestic general government health expenditure (% of total government expenditure),15.4681
Gabon,2000,Current health expenditure (% of GDP),2.9054
Gabon,2005,Current health expenditure (% of GDP),2.9341
Gabon,2010,Current health expenditure (% of GDP),2.4756
Gabon,2015,Current health expenditure (% of GDP),2.6574
Gabon,2016,Current health expenditure (% of GDP),3.1077
Gabon,2017,Current health expenditure (% of GDP),2.7807
Gabon,2000,Domestic general government health expenditure (% of total government expenditure),5.2413
Gabon,2005,Domestic general government health expenditure (% of total government expenditure),5.0767
Gabon,2010,Domestic general government health expenditure (% of total government expenditure),6.8134
Gabon,2015,Domestic general government health expenditure (% of total government expenditure),7.0349
Gabon,2016,Domestic general government health expenditure (% of total government expenditure),9.2026
Gabon,2017,Domestic general government health expenditure (% of total government expenditure),9.7151
Gambia,2000,Current health expenditure (% of GDP),2.693
Gambia,2005,Current health expenditure (% of GDP),2.8429
Gambia,2010,Current health expenditure (% of GDP),3.3506
Gambia,2015,Current health expenditure (% of GDP),3.0999
Gambia,2016,Current health expenditure (% of GDP),2.9557
Gambia,2017,Current health expenditure (% of GDP),3.2821
Gambia,2000,Domestic general government health expenditure (% of total government expenditure),6.9182
Gambia,2005,Domestic general government health expenditure (% of total government expenditure),10.4156
Gambia,2010,Domestic general government health expenditure (% of total government expenditure),7.8139
Gambia,2015,Domestic general government health expenditure (% of total government expenditure),2.7588
Gambia,2016,Domestic general government health expenditure (% of total government expenditure),3.0606
Gambia,2017,Domestic general government health expenditure (% of total government expenditure),3.0606
Georgia,2000,Current health expenditure (% of GDP),7.397
Georgia,2005,Current health expenditure (% of GDP),8.3039
Georgia,2010,Current health expenditure (% of GDP),9.5454
Georgia,2015,Current health expenditure (% of GDP),7.9324
Georgia,2016,Current health expenditure (% of GDP),8.4213
Georgia,2017,Current health expenditure (% of GDP),7.6017
Georgia,2000,Domestic general government health expenditure (% of total government expenditure),4.8525
Georgia,2005,Domestic general government health expenditure (% of total government expenditure),5.5771
Georgia,2010,Domestic general government health expenditure (% of total government expenditure),6.1534
Georgia,2015,Domestic general government health expenditure (% of total government expenditure),9.6086
Georgia,2016,Domestic general government health expenditure (% of total government expenditure),10.3265
Georgia,2017,Domestic general government health expenditure (% of total government expenditure),9.519
Germany,2000,Current health expenditure (% of GDP),9.8373
Germany,2005,Current health expenditure (% of GDP),10.2277
Germany,2010,Current health expenditure (% of GDP),11.0054
Germany,2015,Current health expenditure (% of GDP),11.088
Germany,2016,Current health expenditure (% of GDP),11.1307
Germany,2017,Current health expenditure (% of GDP),11.2468
Germany,2000,Domestic general government health expenditure (% of total government expenditure),17.2087
Germany,2005,Domestic general government health expenditure (% of total government expenditure),16.7817
Germany,2010,Domestic general government health expenditure (% of total government expenditure),17.6422
Germany,2015,Domestic general government health expenditure (% of total government expenditure),19.5147
Germany,2016,Domestic general government health expenditure (% of total government expenditure),19.5902
Germany,2017,Domestic general government health expenditure (% of total government expenditure),19.8808
Ghana,2000,Current health expenditure (% of GDP),2.8352
Ghana,2005,Current health expenditure (% of GDP),3.8258
Ghana,2010,Current health expenditure (% of GDP),4.6078
Ghana,2015,Current health expenditure (% of GDP),4.6217
Ghana,2016,Current health expenditure (% of GDP),3.4616
Ghana,2017,Current health expenditure (% of GDP),3.2624
Ghana,2000,Domestic general government health expenditure (% of total government expenditure),6.0149
Ghana,2005,Domestic general government health expenditure (% of total government expenditure),10.602
Ghana,2010,Domestic general government health expenditure (% of total government expenditure),11.9134
Ghana,2015,Domestic general government health expenditure (% of total government expenditure),8.5579
Ghana,2016,Domestic general government health expenditure (% of total government expenditure),6.5377
Ghana,2017,Domestic general government health expenditure (% of total government expenditure),6.0656
Greece,2005,Current health expenditure (% of GDP),8.6267
Greece,2010,Current health expenditure (% of GDP),9.5597
Greece,2015,Current health expenditure (% of GDP),8.0899
Greece,2016,Current health expenditure (% of GDP),8.2822
Greece,2017,Current health expenditure (% of GDP),8.0414
Greece,2005,Domestic general government health expenditure (% of total government expenditure),11.4367
Greece,2010,Domestic general government health expenditure (% of total government expenditure),12.4359
Greece,2015,Domestic general government health expenditure (% of total government expenditure),8.681
Greece,2016,Domestic general government health expenditure (% of total government expenditure),10.2393
Greece,2017,Domestic general government health expenditure (% of total government expenditure),10.2267
Grenada,2000,Current health expenditure (% of GDP),5.3237
Grenada,2005,Current health expenditure (% of GDP),5.4531
Grenada,2010,Current health expenditure (% of GDP),6.1932
Grenada,2015,Current health expenditure (% of GDP),4.7173
Grenada,2016,Current health expenditure (% of GDP),4.688
Grenada,2017,Current health expenditure (% of GDP),4.7571
Grenada,2000,Domestic general government health expenditure (% of total government expenditure),6.8363
Grenada,2005,Domestic general government health expenditure (% of total government expenditure),10.0204
Grenada,2010,Domestic general government health expenditure (% of total government expenditure),8.9945
Grenada,2015,Domestic general government health expenditure (% of total government expenditure),7.5901
Grenada,2016,Domestic general government health expenditure (% of total government expenditure),9.0396
Grenada,2017,Domestic general government health expenditure (% of total government expenditure),8.9967
Guatemala,2000,Current health expenditure (% of GDP),5.6911
Guatemala,2005,Current health expenditure (% of GDP),6.3689
Guatemala,2010,Current health expenditure (% of GDP),6.1494
Guatemala,2015,Current health expenditure (% of GDP),5.9605
Guatemala,2016,Current health expenditure (% of GDP),6.0087
Guatemala,2017,Current health expenditure (% of GDP),5.8138
Guatemala,2000,Domestic general government health expenditure (% of total government expenditure),14.0828
Guatemala,2005,Domestic general government health expenditure (% of total government expenditure),14.2031
Guatemala,2010,Domestic general government health expenditure (% of total government expenditure),14.2482
Guatemala,2015,Domestic general government health expenditure (% of total government expenditure),18.0544
Guatemala,2016,Domestic general government health expenditure (% of total government expenditure),18.0984
Guatemala,2017,Domestic general government health expenditure (% of total government expenditure),17.2122
Guinea,2000,Current health expenditure (% of GDP),3.4728
Guinea,2005,Current health expenditure (% of GDP),3.0881
Guinea,2010,Current health expenditure (% of GDP),3.0187
Guinea,2015,Current health expenditure (% of GDP),5.8092
Guinea,2016,Current health expenditure (% of GDP),5.3407
Guinea,2017,Current health expenditure (% of GDP),4.1231
Guinea,2000,Domestic general government health expenditure (% of total government expenditure),2.3801
Guinea,2005,Domestic general government health expenditure (% of total government expenditure),2.3735
Guinea,2010,Domestic general government health expenditure (% of total government expenditure),1.7697
Guinea,2015,Domestic general government health expenditure (% of total government expenditure),1.9782
Guinea,2016,Domestic general government health expenditure (% of total government expenditure),4.1134
Guinea,2017,Domestic general government health expenditure (% of total government expenditure),4.1134
Guinea-Bissau,2000,Current health expenditure (% of GDP),7.7106
Guinea-Bissau,2005,Current health expenditure (% of GDP),7.6838
Guinea-Bissau,2010,Current health expenditure (% of GDP),6.6451
Guinea-Bissau,2015,Current health expenditure (% of GDP),8.5912
Guinea-Bissau,2016,Current health expenditure (% of GDP),8.0416
Guinea-Bissau,2017,Current health expenditure (% of GDP),7.2359
Guinea-Bissau,2000,Domestic general government health expenditure (% of total government expenditure),13.7361
Guinea-Bissau,2005,Domestic general government health expenditure (% of total government expenditure),13.6794
Guinea-Bissau,2010,Domestic general government health expenditure (% of total government expenditure),5.9414
Guinea-Bissau,2015,Domestic general government health expenditure (% of total government expenditure),2.7805
Guinea-Bissau,2016,Domestic general government health expenditure (% of total government expenditure),2.6775
Guinea-Bissau,2017,Domestic general government health expenditure (% of total government expenditure),3.0088
Guyana,2000,Current health expenditure (% of GDP),3.8872
Guyana,2005,Current health expenditure (% of GDP),5.1871
Guyana,2010,Current health expenditure (% of GDP),5.4635
Guyana,2015,Current health expenditure (% of GDP),4.5181
Guyana,2016,Current health expenditure (% of GDP),5.1408
Guyana,2017,Current health expenditure (% of GDP),4.9455
Guyana,2000,Domestic general government health expenditure (% of total government expenditure),6.7868
Guyana,2005,Domestic general government health expenditure (% of total government expenditure),6.0825
Guyana,2010,Domestic general government health expenditure (% of total government expenditure),5.4665
Guyana,2015,Domestic general government health expenditure (% of total government expenditure),7.6982
Guyana,2016,Domestic general government health expenditure (% of total government expenditure),10.0029
Guyana,2017,Domestic general government health expenditure (% of total government expenditure),8.5423
Haiti,2000,Current health expenditure (% of GDP),6.8787
Haiti,2005,Current health expenditure (% of GDP),5.5094
Haiti,2010,Current health expenditure (% of GDP),8.1456
Haiti,2015,Current health expenditure (% of GDP),8.6285
Haiti,2016,Current health expenditure (% of GDP),8.4369
Haiti,2017,Current health expenditure (% of GDP),8.0355
Haiti,2000,Domestic general government health expenditure (% of total government expenditure),13.942
Haiti,2005,Domestic general government health expenditure (% of total government expenditure),6.6438
Haiti,2010,Domestic general government health expenditure (% of total government expenditure),6.4156
Haiti,2015,Domestic general government health expenditure (% of total government expenditure),4.3643
Haiti,2016,Domestic general government health expenditure (% of total government expenditure),4.982
Haiti,2017,Domestic general government health expenditure (% of total government expenditure),5.239
Honduras,2000,Current health expenditure (% of GDP),6.4243
Honduras,2005,Current health expenditure (% of GDP),7.6776
Honduras,2010,Current health expenditure (% of GDP),8.7211
Honduras,2015,Current health expenditure (% of GDP),7.714
Honduras,2016,Current health expenditure (% of GDP),8.1669
Honduras,2017,Current health expenditure (% of GDP),7.8584
Honduras,2000,Domestic general government health expenditure (% of total government expenditure),13.679
Honduras,2005,Domestic general government health expenditure (% of total government expenditure),12.3669
Honduras,2010,Domestic general government health expenditure (% of total government expenditure),13.9667
Honduras,2015,Domestic general government health expenditure (% of total government expenditure),11.4276
Honduras,2016,Domestic general government health expenditure (% of total government expenditure),12.3333
Honduras,2017,Domestic general government health expenditure (% of total government expenditure),11.7122
Hungary,2000,Current health expenditure (% of GDP),6.7648
Hungary,2005,Current health expenditure (% of GDP),7.9969
Hungary,2010,Current health expenditure (% of GDP),7.5199
Hungary,2015,Current health expenditure (% of GDP),6.971
Hungary,2016,Current health expenditure (% of GDP),7.1349
Hungary,2017,Current health expenditure (% of GDP),6.88
Hungary,2000,Domestic general government health expenditure (% of total government expenditure),9.8863
Hungary,2005,Domestic general government health expenditure (% of total government expenditure),11.3695
Hungary,2010,Domestic general government health expenditure (% of total government expenditure),10.1601
Hungary,2015,Domestic general government health expenditure (% of total government expenditure),9.4345
Hungary,2016,Domestic general government health expenditure (% of total government expenditure),10.321
Hungary,2017,Domestic general government health expenditure (% of total government expenditure),10.077
Iceland,2000,Current health expenditure (% of GDP),8.9511
Iceland,2005,Current health expenditure (% of GDP),9.1471
Iceland,2010,Current health expenditure (% of GDP),8.5323
Iceland,2015,Current health expenditure (% of GDP),8.1524
Iceland,2016,Current health expenditure (% of GDP),8.1266
Iceland,2017,Current health expenditure (% of GDP),8.3263
Iceland,2000,Domestic general government health expenditure (% of total government expenditure),17.6067
Iceland,2005,Domestic general government health expenditure (% of total government expenditure),18.0192
Iceland,2010,Domestic general government health expenditure (% of total government expenditure),14.3609
Iceland,2015,Domestic general government health expenditure (% of total government expenditure),15.8837
Iceland,2016,Domestic general government health expenditure (% of total government expenditure),14.9527
Iceland,2017,Domestic general government health expenditure (% of total government expenditure),15.7394
India,2000,Current health expenditure (% of GDP),4.0349
India,2005,Current health expenditure (% of GDP),3.7912
India,2010,Current health expenditure (% of GDP),3.2721
India,2015,Current health expenditure (% of GDP),3.5957
India,2016,Current health expenditure (% of GDP),3.511
India,2017,Current health expenditure (% of GDP),3.535
India,2000,Domestic general government health expenditure (% of total government expenditure),3.2907
India,2005,Domestic general government health expenditure (% of total government expenditure),3.0329
India,2010,Domestic general government health expenditure (% of total government expenditure),3.1116
India,2015,Domestic general government health expenditure (% of total government expenditure),3.3762
India,2016,Domestic general government health expenditure (% of total government expenditure),3.3933
India,2017,Domestic general government health expenditure (% of total government expenditure),3.375
Indonesia,2000,Current health expenditure (% of GDP),1.9093
Indonesia,2005,Current health expenditure (% of GDP),2.5841
Indonesia,2010,Current health expenditure (% of GDP),2.9609
Indonesia,2015,Current health expenditure (% of GDP),3.0118
Indonesia,2016,Current health expenditure (% of GDP),3.1191
Indonesia,2017,Current health expenditure (% of GDP),2.9891
Indonesia,2000,Domestic general government health expenditure (% of total government expenditure),3.5799
Indonesia,2005,Domestic general government health expenditure (% of total government expenditure),4.1989
Indonesia,2010,Domestic general government health expenditure (% of total government expenditure),4.5096
Indonesia,2015,Domestic general government health expenditure (% of total government expenditure),6.9401
Indonesia,2016,Domestic general government health expenditure (% of total government expenditure),8.3108
Indonesia,2017,Domestic general government health expenditure (% of total government expenditure),8.7285
Iran (Islamic Republic of),2000,Current health expenditure (% of GDP),4.735
Iran (Islamic Republic of),2005,Current health expenditure (% of GDP),5.3057
Iran (Islamic Republic of),2010,Current health expenditure (% of GDP),6.7547
Iran (Islamic Republic of),2015,Current health expenditure (% of GDP),7.7606
Iran (Islamic Republic of),2016,Current health expenditure (% of GDP),8.8595
Iran (Islamic Republic of),2017,Current health expenditure (% of GDP),8.6597
Iran (Islamic Republic of),2000,Domestic general government health expenditure (% of total government expenditure),10.9524
Iran (Islamic Republic of),2005,Domestic general government health expenditure (% of total government expenditure),9.3597
Iran (Islamic Republic of),2010,Domestic general government health expenditure (% of total government expenditure),11.8872
Iran (Islamic Republic of),2015,Domestic general government health expenditure (% of total government expenditure),22.5999
Iran (Islamic Republic of),2016,Domestic general government health expenditure (% of total government expenditure),22.9361
Iran (Islamic Republic of),2017,Domestic general government health expenditure (% of total government expenditure),22.936
Iraq,2005,Current health expenditure (% of GDP),2.8974
Iraq,2010,Current health expenditure (% of GDP),3.2306
Iraq,2015,Current health expenditure (% of GDP),3.1428
Iraq,2016,Current health expenditure (% of GDP),3.267
Iraq,2017,Current health expenditure (% of GDP),4.1666
Iraq,2005,Domestic general government health expenditure (% of total government expenditure),3.1964
Iraq,2010,Domestic general government health expenditure (% of total government expenditure),4.8142
Iraq,2015,Domestic general government health expenditure (% of total government expenditure),1.6813
Iraq,2016,Domestic general government health expenditure (% of total government expenditure),1.6812
Iraq,2017,Domestic general government health expenditure (% of total government expenditure),4.9836
Ireland,2000,Current health expenditure (% of GDP),5.9053
Ireland,2005,Current health expenditure (% of GDP),7.6478
Ireland,2010,Current health expenditure (% of GDP),10.5034
Ireland,2015,Current health expenditure (% of GDP),7.3358
Ireland,2016,Current health expenditure (% of GDP),7.3826
Ireland,2017,Current health expenditure (% of GDP),7.1844
Ireland,2000,Domestic general government health expenditure (% of total government expenditure),14.8251
Ireland,2005,Domestic general government health expenditure (% of total government expenditure),18.0898
Ireland,2010,Domestic general government health expenditure (% of total government expenditure),12.3019
Ireland,2015,Domestic general government health expenditure (% of total government expenditure),18.2665
Ireland,2016,Domestic general government health expenditure (% of total government expenditure),19.462
Ireland,2017,Domestic general government health expenditure (% of total government expenditure),20.0431
Israel,2000,Current health expenditure (% of GDP),6.8071
Israel,2005,Current health expenditure (% of GDP),7.1298
Israel,2010,Current health expenditure (% of GDP),7.0247
Israel,2015,Current health expenditure (% of GDP),7.0865
Israel,2016,Current health expenditure (% of GDP),7.3259
Israel,2017,Current health expenditure (% of GDP),7.4075
Israel,2000,Domestic general government health expenditure (% of total government expenditure),8.9381
Israel,2005,Domestic general government health expenditure (% of total government expenditure),9.2835
Israel,2010,Domestic general government health expenditure (% of total government expenditure),10.6541
Israel,2015,Domestic general government health expenditure (% of total government expenditure),11.73
Israel,2016,Domestic general government health expenditure (% of total government expenditure),12.0617
Israel,2017,Domestic general government health expenditure (% of total government expenditure),11.9277
Italy,2000,Current health expenditure (% of GDP),7.5804
Italy,2005,Current health expenditure (% of GDP),8.3612
Italy,2010,Current health expenditure (% of GDP),8.9536
Italy,2015,Current health expenditure (% of GDP),8.988
Italy,2016,Current health expenditure (% of GDP),8.8806
Italy,2017,Current health expenditure (% of GDP),8.8403
Italy,2000,Domestic general government health expenditure (% of total government expenditure),11.8127
Italy,2005,Domestic general government health expenditure (% of total government expenditure),13.743
Italy,2010,Domestic general government health expenditure (% of total government expenditure),14.0798
Italy,2015,Domestic general government health expenditure (% of total government expenditure),13.338
